brandKey,brandName,brandIcon,brandLogo,brandColor,textColor,isProConnect
lp,L'Oréal Pro,⭐,loreal.png,#1A1A1A,#FFFFFF,FALSE
kerastase,Kérastase,✨,kerastase.png,#CF93B1,#FFFFFF,FALSE
proconnect,Pro.Connect,👑,proconnect.png,#C9A84C,#F5F0E8,TRUE
pureology,Pureology,💜,pureology.png,#5C3D6E,#FFFFFF,FALSE
redken,Redken,🔬,redken.png,#E4002B,#FFFFFF,FALSE
matrix,Matrix,🔶,matrix.png,#F26522,#FFFFFF,FALSE
biolage,Biolage,🌿,biolage.png,#4A7C59,#FFFFFF,FALSE
academy,Business Academy,📘,lba.png,#0057A8,#FFFFFF,FALSE
